tensor([[ 6, 18, 21,  ..., 16,  8, 16],
        [ 6, 18,  7,  ..., 12,  8, 14]])
torch.Size([2, 1000])
Epoch: 0, Training Loss: 0.6847318969666958, Accuracy: 0.563125
Epoch: 0, Validation Loss: 0.6791937202215195, Accuracy: 0.595
Epoch: 1, Training Loss: 0.6666813306510448, Accuracy: 0.650625
Epoch: 1, Validation Loss: 0.6612388640642166, Accuracy: 0.6125
Epoch: 2, Training Loss: 0.6384829692542553, Accuracy: 0.67875
Epoch: 2, Validation Loss: 0.6326974630355835, Accuracy: 0.65
Epoch: 3, Training Loss: 0.596893448382616, Accuracy: 0.700625
Epoch: 3, Validation Loss: 0.5961063057184219, Accuracy: 0.6675
Epoch: 4, Training Loss: 0.5512254014611244, Accuracy: 0.7375
Epoch: 4, Validation Loss: 0.5588788837194443, Accuracy: 0.7125
Epoch: 5, Training Loss: 0.5107274819165468, Accuracy: 0.7675
Epoch: 5, Validation Loss: 0.5271186679601669, Accuracy: 0.72
Epoch: 6, Training Loss: 0.4719549883157015, Accuracy: 0.785625
Epoch: 6, Validation Loss: 0.4929652288556099, Accuracy: 0.7725
Epoch: 7, Training Loss: 0.43316328153014183, Accuracy: 0.80375
Epoch: 7, Validation Loss: 0.4607476517558098, Accuracy: 0.7925
Epoch: 8, Training Loss: 0.39362956769764423, Accuracy: 0.83625
Epoch: 8, Validation Loss: 0.43150174617767334, Accuracy: 0.8
Epoch: 9, Training Loss: 0.356067618355155, Accuracy: 0.85625
Epoch: 9, Validation Loss: 0.4023427814245224, Accuracy: 0.815
Epoch: 10, Training Loss: 0.318698950111866, Accuracy: 0.87625
Epoch: 10, Validation Loss: 0.377884678542614, Accuracy: 0.8175
Epoch: 11, Training Loss: 0.28596149664372206, Accuracy: 0.899375
Epoch: 11, Validation Loss: 0.3516935557126999, Accuracy: 0.8375
Epoch: 12, Training Loss: 0.2557933712378144, Accuracy: 0.9125
Epoch: 12, Validation Loss: 0.33358655869960785, Accuracy: 0.85
Epoch: 13, Training Loss: 0.22627309430390596, Accuracy: 0.9275
Epoch: 13, Validation Loss: 0.3142879977822304, Accuracy: 0.855
Epoch: 14, Training Loss: 0.20086484029889107, Accuracy: 0.93875
Epoch: 14, Validation Loss: 0.29411881417036057, Accuracy: 0.8675
Epoch: 15, Training Loss: 0.18010288663208485, Accuracy: 0.941875
Epoch: 15, Validation Loss: 0.292926087975502, Accuracy: 0.8525
Epoch: 16, Training Loss: 0.16329581290483475, Accuracy: 0.9525
Epoch: 16, Validation Loss: 0.2708764411509037, Accuracy: 0.8825
Epoch: 17, Training Loss: 0.14471761276945472, Accuracy: 0.96
Epoch: 17, Validation Loss: 0.2622092068195343, Accuracy: 0.8825
Epoch: 18, Training Loss: 0.12920071417465806, Accuracy: 0.966875
Epoch: 18, Validation Loss: 0.2530233561992645, Accuracy: 0.8875
Epoch: 19, Training Loss: 0.11661785747855902, Accuracy: 0.97125
Epoch: 19, Validation Loss: 0.24280288442969322, Accuracy: 0.885
Epoch: 20, Training Loss: 0.10555334528908134, Accuracy: 0.975625
Epoch: 20, Validation Loss: 0.23778440803289413, Accuracy: 0.8925
Epoch: 21, Training Loss: 0.0959374385420233, Accuracy: 0.978125
Epoch: 21, Validation Loss: 0.23213893175125122, Accuracy: 0.8975
Epoch: 22, Training Loss: 0.08697525830939412, Accuracy: 0.980625
Epoch: 22, Validation Loss: 0.2402205690741539, Accuracy: 0.8975
Epoch: 23, Training Loss: 0.07980683725327253, Accuracy: 0.98125
Epoch: 23, Validation Loss: 0.22374095767736435, Accuracy: 0.9075
Epoch: 24, Training Loss: 0.07204317161813378, Accuracy: 0.985
Epoch: 24, Validation Loss: 0.22458438575267792, Accuracy: 0.9075
Epoch: 25, Training Loss: 0.06532866298221052, Accuracy: 0.98625
Epoch: 25, Validation Loss: 0.22881555184721947, Accuracy: 0.905
Epoch: 26, Training Loss: 0.05938621028326452, Accuracy: 0.99
Epoch: 26, Validation Loss: 0.2172507308423519, Accuracy: 0.91
Epoch: 27, Training Loss: 0.05531767418142408, Accuracy: 0.99125
Epoch: 27, Validation Loss: 0.22385942935943604, Accuracy: 0.905
Epoch: 28, Training Loss: 0.050506726605817676, Accuracy: 0.99375
Epoch: 28, Validation Loss: 0.2257486656308174, Accuracy: 0.9075
Epoch: 29, Training Loss: 0.045676860376261175, Accuracy: 0.995
Epoch: 29, Validation Loss: 0.21975837275385857, Accuracy: 0.9125
