tensor([[10, 19, 15,  ..., 23,  8,  9],
        [11,  9,  9,  ..., 17, 22, 14]])
torch.Size([2, 1000])
Epoch: 0, Training Loss: 0.6854172497987747, Accuracy: 0.538125
Epoch: 0, Validation Loss: 0.6750464886426926, Accuracy: 0.59
Epoch: 1, Training Loss: 0.6689654402434826, Accuracy: 0.60375
Epoch: 1, Validation Loss: 0.6581856459379196, Accuracy: 0.6275
Epoch: 2, Training Loss: 0.6475513800978661, Accuracy: 0.651875
Epoch: 2, Validation Loss: 0.6342080980539322, Accuracy: 0.655
Epoch: 3, Training Loss: 0.6175443194806576, Accuracy: 0.688125
Epoch: 3, Validation Loss: 0.602656364440918, Accuracy: 0.6975
Epoch: 4, Training Loss: 0.5789868198335171, Accuracy: 0.71375
Epoch: 4, Validation Loss: 0.563626155257225, Accuracy: 0.73
Epoch: 5, Training Loss: 0.535445449873805, Accuracy: 0.743125
Epoch: 5, Validation Loss: 0.524475634098053, Accuracy: 0.76
Epoch: 6, Training Loss: 0.4951895419508219, Accuracy: 0.77125
Epoch: 6, Validation Loss: 0.4916144981980324, Accuracy: 0.7725
Epoch: 7, Training Loss: 0.4590591676533222, Accuracy: 0.79375
Epoch: 7, Validation Loss: 0.4661206975579262, Accuracy: 0.79
Epoch: 8, Training Loss: 0.42509766668081284, Accuracy: 0.825625
Epoch: 8, Validation Loss: 0.4427391290664673, Accuracy: 0.8
Epoch: 9, Training Loss: 0.39419243671000004, Accuracy: 0.85125
Epoch: 9, Validation Loss: 0.42662033438682556, Accuracy: 0.8125
Epoch: 10, Training Loss: 0.3676267936825752, Accuracy: 0.85375
Epoch: 10, Validation Loss: 0.40854448825120926, Accuracy: 0.8125
Epoch: 11, Training Loss: 0.34395154379308224, Accuracy: 0.8575
Epoch: 11, Validation Loss: 0.3912145495414734, Accuracy: 0.8275
Epoch: 12, Training Loss: 0.3191372146829963, Accuracy: 0.874375
Epoch: 12, Validation Loss: 0.3778907358646393, Accuracy: 0.8225
Epoch: 13, Training Loss: 0.3031082432717085, Accuracy: 0.881875
Epoch: 13, Validation Loss: 0.3632390797138214, Accuracy: 0.845
Epoch: 14, Training Loss: 0.2813532054424286, Accuracy: 0.885
Epoch: 14, Validation Loss: 0.3505955711007118, Accuracy: 0.85
Epoch: 15, Training Loss: 0.2609029822051525, Accuracy: 0.9
Epoch: 15, Validation Loss: 0.34825755655765533, Accuracy: 0.85
Epoch: 16, Training Loss: 0.24435459449887276, Accuracy: 0.9075
Epoch: 16, Validation Loss: 0.3315110430121422, Accuracy: 0.85
Epoch: 17, Training Loss: 0.2272188225761056, Accuracy: 0.9125
Epoch: 17, Validation Loss: 0.31887974590063095, Accuracy: 0.865
Epoch: 18, Training Loss: 0.21703306213021278, Accuracy: 0.921875
Epoch: 18, Validation Loss: 0.3139262944459915, Accuracy: 0.8625
Epoch: 19, Training Loss: 0.1967194452881813, Accuracy: 0.93625
Epoch: 19, Validation Loss: 0.3393144756555557, Accuracy: 0.85
Epoch: 20, Training Loss: 0.18722161278128624, Accuracy: 0.930625
Epoch: 20, Validation Loss: 0.29924335703253746, Accuracy: 0.8675
Epoch: 21, Training Loss: 0.1746204635128379, Accuracy: 0.940625
Epoch: 21, Validation Loss: 0.2979075014591217, Accuracy: 0.8725
Epoch: 22, Training Loss: 0.16233532037585974, Accuracy: 0.951875
Epoch: 22, Validation Loss: 0.28716620057821274, Accuracy: 0.885
Epoch: 23, Training Loss: 0.15029538562521338, Accuracy: 0.956875
Epoch: 23, Validation Loss: 0.280723687261343, Accuracy: 0.8825
Epoch: 24, Training Loss: 0.1409248048439622, Accuracy: 0.955
Epoch: 24, Validation Loss: 0.2735888808965683, Accuracy: 0.89
Epoch: 25, Training Loss: 0.13255527708679438, Accuracy: 0.960625
Epoch: 25, Validation Loss: 0.2783781997859478, Accuracy: 0.8775
Epoch: 26, Training Loss: 0.12748956680297852, Accuracy: 0.964375
Epoch: 26, Validation Loss: 0.26282696053385735, Accuracy: 0.8825
Epoch: 27, Training Loss: 0.11695596342906356, Accuracy: 0.968125
Epoch: 27, Validation Loss: 0.2641910947859287, Accuracy: 0.8725
Epoch: 28, Training Loss: 0.110466746147722, Accuracy: 0.97125
Epoch: 28, Validation Loss: 0.25843919813632965, Accuracy: 0.8875
Epoch: 29, Training Loss: 0.10148906894028187, Accuracy: 0.973125
Epoch: 29, Validation Loss: 0.2745637074112892, Accuracy: 0.89
