tensor([[10, 19, 12,  ..., 15, 13,  6],
        [18, 18, 20,  ..., 13, 15, 22]])
torch.Size([2, 1000])
Epoch: 0, Training Loss: 0.6789748296141624, Accuracy: 0.565625
Epoch: 0, Validation Loss: 0.6610029935836792, Accuracy: 0.6275
Epoch: 1, Training Loss: 0.6525116264820099, Accuracy: 0.641875
Epoch: 1, Validation Loss: 0.626552626490593, Accuracy: 0.67
Epoch: 2, Training Loss: 0.6148837618529797, Accuracy: 0.683125
Epoch: 2, Validation Loss: 0.5812030732631683, Accuracy: 0.71
Epoch: 3, Training Loss: 0.5732672475278378, Accuracy: 0.695
Epoch: 3, Validation Loss: 0.5382882654666901, Accuracy: 0.7475
Epoch: 4, Training Loss: 0.5350109431892633, Accuracy: 0.725
Epoch: 4, Validation Loss: 0.5039849057793617, Accuracy: 0.7725
Epoch: 5, Training Loss: 0.5013295169919729, Accuracy: 0.76625
Epoch: 5, Validation Loss: 0.476720929145813, Accuracy: 0.8025
Epoch: 6, Training Loss: 0.4653547126799822, Accuracy: 0.798125
Epoch: 6, Validation Loss: 0.452438086271286, Accuracy: 0.81
Epoch: 7, Training Loss: 0.4319083485752344, Accuracy: 0.81875
Epoch: 7, Validation Loss: 0.42868783324956894, Accuracy: 0.8275
Epoch: 8, Training Loss: 0.3963435925543308, Accuracy: 0.844375
Epoch: 8, Validation Loss: 0.4055503010749817, Accuracy: 0.8425
Epoch: 9, Training Loss: 0.3658149279654026, Accuracy: 0.855625
Epoch: 9, Validation Loss: 0.3886011764407158, Accuracy: 0.84
Epoch: 10, Training Loss: 0.3319729473441839, Accuracy: 0.87125
Epoch: 10, Validation Loss: 0.3675587624311447, Accuracy: 0.8625
Epoch: 11, Training Loss: 0.30303806252777576, Accuracy: 0.888125
Epoch: 11, Validation Loss: 0.35440995544195175, Accuracy: 0.87
Epoch: 12, Training Loss: 0.27349809370934963, Accuracy: 0.906875
Epoch: 12, Validation Loss: 0.3383229002356529, Accuracy: 0.8775
Epoch: 13, Training Loss: 0.24759248457849026, Accuracy: 0.90875
Epoch: 13, Validation Loss: 0.3165554031729698, Accuracy: 0.88
Epoch: 14, Training Loss: 0.22435950674116611, Accuracy: 0.92625
Epoch: 14, Validation Loss: 0.3028288558125496, Accuracy: 0.8825
Epoch: 15, Training Loss: 0.20027259923517704, Accuracy: 0.9375
Epoch: 15, Validation Loss: 0.29323092103004456, Accuracy: 0.8825
Epoch: 16, Training Loss: 0.18203559890389442, Accuracy: 0.941875
Epoch: 16, Validation Loss: 0.29002437740564346, Accuracy: 0.88
Epoch: 17, Training Loss: 0.16409634612500668, Accuracy: 0.9525
Epoch: 17, Validation Loss: 0.263971246778965, Accuracy: 0.885
Epoch: 18, Training Loss: 0.14946976257488132, Accuracy: 0.955625
Epoch: 18, Validation Loss: 0.2627493590116501, Accuracy: 0.8925
Epoch: 19, Training Loss: 0.13358045183122158, Accuracy: 0.96125
Epoch: 19, Validation Loss: 0.2567695155739784, Accuracy: 0.8975
Epoch: 20, Training Loss: 0.12306025112047791, Accuracy: 0.968125
Epoch: 20, Validation Loss: 0.25129179283976555, Accuracy: 0.9
Epoch: 21, Training Loss: 0.1108190268278122, Accuracy: 0.9675
Epoch: 21, Validation Loss: 0.2373126745223999, Accuracy: 0.9075
Epoch: 22, Training Loss: 0.10111282486468554, Accuracy: 0.975625
Epoch: 22, Validation Loss: 0.2502260245382786, Accuracy: 0.9
Epoch: 23, Training Loss: 0.09176477906294167, Accuracy: 0.98
Epoch: 23, Validation Loss: 0.24522896483540535, Accuracy: 0.9
Epoch: 24, Training Loss: 0.0827490552328527, Accuracy: 0.98
Epoch: 24, Validation Loss: 0.25166864320635796, Accuracy: 0.8975
Epoch: 25, Training Loss: 0.07600997015833855, Accuracy: 0.98375
Epoch: 25, Validation Loss: 0.24131928384304047, Accuracy: 0.8975
Epoch: 26, Training Loss: 0.0699325236491859, Accuracy: 0.986875
Epoch: 26, Validation Loss: 0.2390887513756752, Accuracy: 0.9025
Epoch: 27, Training Loss: 0.06278577167540789, Accuracy: 0.986875
Epoch: 27, Validation Loss: 0.2294517122209072, Accuracy: 0.9
Epoch: 28, Training Loss: 0.056538071250543, Accuracy: 0.990625
Epoch: 28, Validation Loss: 0.2589704133570194, Accuracy: 0.8975
Epoch: 29, Training Loss: 0.05253324029035866, Accuracy: 0.990625
Epoch: 29, Validation Loss: 0.23252223059535027, Accuracy: 0.905
