tensor([[ 6, 23, 18,  ..., 20,  7, 19],
        [20,  5, 10,  ...,  8,  7,  9]])
torch.Size([2, 1000])
Epoch: 0, Training Loss: 0.6847102679312229, Accuracy: 0.589375
Epoch: 0, Validation Loss: 0.6726039201021194, Accuracy: 0.655
Epoch: 1, Training Loss: 0.6613360270857811, Accuracy: 0.69
Epoch: 1, Validation Loss: 0.645778700709343, Accuracy: 0.7175
Epoch: 2, Training Loss: 0.6252620704472065, Accuracy: 0.72125
Epoch: 2, Validation Loss: 0.6043218821287155, Accuracy: 0.7375
Epoch: 3, Training Loss: 0.5753220729529858, Accuracy: 0.73875
Epoch: 3, Validation Loss: 0.5580982863903046, Accuracy: 0.755
Epoch: 4, Training Loss: 0.5297131817787886, Accuracy: 0.751875
Epoch: 4, Validation Loss: 0.5214739367365837, Accuracy: 0.7775
Epoch: 5, Training Loss: 0.48869981057941914, Accuracy: 0.781875
Epoch: 5, Validation Loss: 0.4939463883638382, Accuracy: 0.775
Epoch: 6, Training Loss: 0.4522646088153124, Accuracy: 0.80875
Epoch: 6, Validation Loss: 0.46648380160331726, Accuracy: 0.7975
Epoch: 7, Training Loss: 0.4143337234854698, Accuracy: 0.8275
Epoch: 7, Validation Loss: 0.4339005872607231, Accuracy: 0.8175
Epoch: 8, Training Loss: 0.3778361063450575, Accuracy: 0.84625
Epoch: 8, Validation Loss: 0.40762872993946075, Accuracy: 0.8275
Epoch: 9, Training Loss: 0.34303334541618824, Accuracy: 0.87
Epoch: 9, Validation Loss: 0.3784363567829132, Accuracy: 0.8525
Epoch: 10, Training Loss: 0.30952984280884266, Accuracy: 0.880625
Epoch: 10, Validation Loss: 0.3522544279694557, Accuracy: 0.87
Epoch: 11, Training Loss: 0.27753080893307924, Accuracy: 0.898125
Epoch: 11, Validation Loss: 0.33151693642139435, Accuracy: 0.87
Epoch: 12, Training Loss: 0.24822695832699537, Accuracy: 0.914375
Epoch: 12, Validation Loss: 0.319112092256546, Accuracy: 0.885
Epoch: 13, Training Loss: 0.22271107230335474, Accuracy: 0.93
Epoch: 13, Validation Loss: 0.29043932259082794, Accuracy: 0.8925
Epoch: 14, Training Loss: 0.19893317017704248, Accuracy: 0.94375
Epoch: 14, Validation Loss: 0.2718730866909027, Accuracy: 0.89
Epoch: 15, Training Loss: 0.1769239455461502, Accuracy: 0.948125
Epoch: 15, Validation Loss: 0.2563188001513481, Accuracy: 0.8925
Epoch: 16, Training Loss: 0.15971919428557158, Accuracy: 0.9575
Epoch: 16, Validation Loss: 0.24743948131799698, Accuracy: 0.9025
Epoch: 17, Training Loss: 0.14418704388663173, Accuracy: 0.9625
Epoch: 17, Validation Loss: 0.2326338291168213, Accuracy: 0.905
Epoch: 18, Training Loss: 0.13028525188565254, Accuracy: 0.9725
Epoch: 18, Validation Loss: 0.22289711982011795, Accuracy: 0.905
Epoch: 19, Training Loss: 0.11607250943779945, Accuracy: 0.97625
Epoch: 19, Validation Loss: 0.21756871417164803, Accuracy: 0.91
Epoch: 20, Training Loss: 0.10342080518603325, Accuracy: 0.978125
Epoch: 20, Validation Loss: 0.2068004421889782, Accuracy: 0.9175
Epoch: 21, Training Loss: 0.09524176921695471, Accuracy: 0.9775
Epoch: 21, Validation Loss: 0.20364005118608475, Accuracy: 0.915
Epoch: 22, Training Loss: 0.0853867712430656, Accuracy: 0.981875
Epoch: 22, Validation Loss: 0.20566386356949806, Accuracy: 0.9125
Epoch: 23, Training Loss: 0.07796446466818452, Accuracy: 0.98625
Epoch: 23, Validation Loss: 0.20060466974973679, Accuracy: 0.9175
Epoch: 24, Training Loss: 0.07037950749509037, Accuracy: 0.99
Epoch: 24, Validation Loss: 0.2045910246670246, Accuracy: 0.9125
Epoch: 25, Training Loss: 0.06394299142993987, Accuracy: 0.990625
Epoch: 25, Validation Loss: 0.19586685672402382, Accuracy: 0.9175
Epoch: 26, Training Loss: 0.05857797618955374, Accuracy: 0.991875
Epoch: 26, Validation Loss: 0.19385022297501564, Accuracy: 0.9175
Epoch: 27, Training Loss: 0.05221672146581113, Accuracy: 0.995625
Epoch: 27, Validation Loss: 0.18991369754076004, Accuracy: 0.9225
Epoch: 28, Training Loss: 0.04923569248057902, Accuracy: 0.994375
Epoch: 28, Validation Loss: 0.19063836708664894, Accuracy: 0.9175
Epoch: 29, Training Loss: 0.044831942417658865, Accuracy: 0.996875
Epoch: 29, Validation Loss: 0.18383129686117172, Accuracy: 0.9275
