tensor([[17, 10, 15,  ...,  9,  6, 17],
        [17, 10, 13,  ..., 17, 24, 11]])
torch.Size([2, 1000])
Epoch: 0, Training Loss: 0.6826355941593647, Accuracy: 0.583125
Epoch: 0, Validation Loss: 0.6751483976840973, Accuracy: 0.615
Epoch: 1, Training Loss: 0.6566861905157566, Accuracy: 0.653125
Epoch: 1, Validation Loss: 0.6488393098115921, Accuracy: 0.635
Epoch: 2, Training Loss: 0.6185156665742397, Accuracy: 0.7
Epoch: 2, Validation Loss: 0.6125578433275223, Accuracy: 0.665
Epoch: 3, Training Loss: 0.5705060884356499, Accuracy: 0.731875
Epoch: 3, Validation Loss: 0.5690176635980606, Accuracy: 0.6975
Epoch: 4, Training Loss: 0.5271109584718943, Accuracy: 0.74375
Epoch: 4, Validation Loss: 0.5375085473060608, Accuracy: 0.725
Epoch: 5, Training Loss: 0.4908385667949915, Accuracy: 0.764375
Epoch: 5, Validation Loss: 0.5049769654870033, Accuracy: 0.7575
Epoch: 6, Training Loss: 0.45536994747817516, Accuracy: 0.794375
Epoch: 6, Validation Loss: 0.47424739599227905, Accuracy: 0.7825
Epoch: 7, Training Loss: 0.41998015344142914, Accuracy: 0.8125
Epoch: 7, Validation Loss: 0.44137272983789444, Accuracy: 0.8225
Epoch: 8, Training Loss: 0.3815178796648979, Accuracy: 0.843125
Epoch: 8, Validation Loss: 0.41045331209897995, Accuracy: 0.84
Epoch: 9, Training Loss: 0.3473765030503273, Accuracy: 0.86875
Epoch: 9, Validation Loss: 0.382089763879776, Accuracy: 0.8475
Epoch: 10, Training Loss: 0.3110040631145239, Accuracy: 0.883125
Epoch: 10, Validation Loss: 0.35371772199869156, Accuracy: 0.855
Epoch: 11, Training Loss: 0.2769104056060314, Accuracy: 0.90375
Epoch: 11, Validation Loss: 0.3314485102891922, Accuracy: 0.86
Epoch: 12, Training Loss: 0.24661599472165108, Accuracy: 0.919375
Epoch: 12, Validation Loss: 0.3072413168847561, Accuracy: 0.8725
Epoch: 13, Training Loss: 0.21752707287669182, Accuracy: 0.934375
Epoch: 13, Validation Loss: 0.2888582609593868, Accuracy: 0.8825
Epoch: 14, Training Loss: 0.19143734965473413, Accuracy: 0.939375
Epoch: 14, Validation Loss: 0.26545391976833344, Accuracy: 0.89
Epoch: 15, Training Loss: 0.1690129740163684, Accuracy: 0.95375
Epoch: 15, Validation Loss: 0.2502758912742138, Accuracy: 0.8925
Epoch: 16, Training Loss: 0.15001425053924322, Accuracy: 0.959375
Epoch: 16, Validation Loss: 0.2351478822529316, Accuracy: 0.8975
Epoch: 17, Training Loss: 0.13267699303105474, Accuracy: 0.96625
Epoch: 17, Validation Loss: 0.22648311778903008, Accuracy: 0.9075
Epoch: 18, Training Loss: 0.1175454999320209, Accuracy: 0.975
Epoch: 18, Validation Loss: 0.21330789476633072, Accuracy: 0.9075
Epoch: 19, Training Loss: 0.10356114548631012, Accuracy: 0.976875
Epoch: 19, Validation Loss: 0.2051725909113884, Accuracy: 0.915
Epoch: 20, Training Loss: 0.09370537451468408, Accuracy: 0.98125
Epoch: 20, Validation Loss: 0.20619048178195953, Accuracy: 0.92
Epoch: 21, Training Loss: 0.08441384485922754, Accuracy: 0.98625
Epoch: 21, Validation Loss: 0.19661454111337662, Accuracy: 0.92
Epoch: 22, Training Loss: 0.07467453088611364, Accuracy: 0.988125
Epoch: 22, Validation Loss: 0.1881658136844635, Accuracy: 0.92
Epoch: 23, Training Loss: 0.06753062247298658, Accuracy: 0.991875
Epoch: 23, Validation Loss: 0.18580716103315353, Accuracy: 0.9325
Epoch: 24, Training Loss: 0.06141786207444966, Accuracy: 0.9925
Epoch: 24, Validation Loss: 0.18641027808189392, Accuracy: 0.9275
Epoch: 25, Training Loss: 0.05481656058691442, Accuracy: 0.99375
Epoch: 25, Validation Loss: 0.17514225468039513, Accuracy: 0.9325
Epoch: 26, Training Loss: 0.050287561025470495, Accuracy: 0.994375
Epoch: 26, Validation Loss: 0.1760130673646927, Accuracy: 0.9375
Epoch: 27, Training Loss: 0.04603557358495891, Accuracy: 0.994375
Epoch: 27, Validation Loss: 0.17115316540002823, Accuracy: 0.9425
Epoch: 28, Training Loss: 0.04269221157301217, Accuracy: 0.995
Epoch: 28, Validation Loss: 0.17212728038430214, Accuracy: 0.9325
Epoch: 29, Training Loss: 0.038211453589610755, Accuracy: 0.9975
Epoch: 29, Validation Loss: 0.17280767858028412, Accuracy: 0.9325
