tensor([[23,  7, 21,  ..., 17, 12, 19],
        [16,  7,  7,  ..., 17, 12,  6]])
torch.Size([2, 1000])
Epoch: 0, Training Loss: 0.7090596854686737, Accuracy: 0.495625
Epoch: 0, Validation Loss: 0.689239889383316, Accuracy: 0.5225
Epoch: 1, Training Loss: 0.684483714401722, Accuracy: 0.57375
Epoch: 1, Validation Loss: 0.6781872659921646, Accuracy: 0.645
Epoch: 2, Training Loss: 0.6663339473307133, Accuracy: 0.675
Epoch: 2, Validation Loss: 0.6644304841756821, Accuracy: 0.64
Epoch: 3, Training Loss: 0.6421962268650532, Accuracy: 0.696875
Epoch: 3, Validation Loss: 0.6465382128953934, Accuracy: 0.665
Epoch: 4, Training Loss: 0.6135497242212296, Accuracy: 0.7125
Epoch: 4, Validation Loss: 0.626585453748703, Accuracy: 0.7
Epoch: 5, Training Loss: 0.5854740813374519, Accuracy: 0.72875
Epoch: 5, Validation Loss: 0.6106612682342529, Accuracy: 0.7025
Epoch: 6, Training Loss: 0.5605773944407701, Accuracy: 0.73625
Epoch: 6, Validation Loss: 0.5940423011779785, Accuracy: 0.6975
Epoch: 7, Training Loss: 0.53918831422925, Accuracy: 0.743125
Epoch: 7, Validation Loss: 0.5834752023220062, Accuracy: 0.7025
Epoch: 8, Training Loss: 0.5200650431215763, Accuracy: 0.759375
Epoch: 8, Validation Loss: 0.5715068280696869, Accuracy: 0.725
Epoch: 9, Training Loss: 0.5040697529911995, Accuracy: 0.78125
Epoch: 9, Validation Loss: 0.5701775252819061, Accuracy: 0.705
Epoch: 10, Training Loss: 0.4894763436168432, Accuracy: 0.789375
Epoch: 10, Validation Loss: 0.5686138719320297, Accuracy: 0.7075
Epoch: 11, Training Loss: 0.4793611280620098, Accuracy: 0.7925
Epoch: 11, Validation Loss: 0.5483260601758957, Accuracy: 0.7375
Epoch: 12, Training Loss: 0.4689472634345293, Accuracy: 0.80375
Epoch: 12, Validation Loss: 0.5436767488718033, Accuracy: 0.7475
Epoch: 13, Training Loss: 0.4562258441001177, Accuracy: 0.808125
Epoch: 13, Validation Loss: 0.5360217839479446, Accuracy: 0.755
Epoch: 14, Training Loss: 0.4463792070746422, Accuracy: 0.810625
Epoch: 14, Validation Loss: 0.5415685474872589, Accuracy: 0.73
Epoch: 15, Training Loss: 0.43795910105109215, Accuracy: 0.82125
Epoch: 15, Validation Loss: 0.5287303924560547, Accuracy: 0.7525
Epoch: 16, Training Loss: 0.4295340720564127, Accuracy: 0.82
Epoch: 16, Validation Loss: 0.5216625332832336, Accuracy: 0.7725
Epoch: 17, Training Loss: 0.4215828161686659, Accuracy: 0.82625
Epoch: 17, Validation Loss: 0.5268452167510986, Accuracy: 0.7425
Epoch: 18, Training Loss: 0.4161170143634081, Accuracy: 0.83625
Epoch: 18, Validation Loss: 0.5141326934099197, Accuracy: 0.7775
Epoch: 19, Training Loss: 0.4076198097318411, Accuracy: 0.83375
Epoch: 19, Validation Loss: 0.5099408254027367, Accuracy: 0.7625
Epoch: 20, Training Loss: 0.40361559949815273, Accuracy: 0.840625
Epoch: 20, Validation Loss: 0.5096693933010101, Accuracy: 0.765
Epoch: 21, Training Loss: 0.396205285564065, Accuracy: 0.839375
Epoch: 21, Validation Loss: 0.5055388733744621, Accuracy: 0.7725
Epoch: 22, Training Loss: 0.3920481223613024, Accuracy: 0.843125
Epoch: 22, Validation Loss: 0.5027968510985374, Accuracy: 0.7725
Epoch: 23, Training Loss: 0.3862137123942375, Accuracy: 0.84625
Epoch: 23, Validation Loss: 0.507940374314785, Accuracy: 0.7575
Epoch: 24, Training Loss: 0.3813447095453739, Accuracy: 0.85
Epoch: 24, Validation Loss: 0.5162039026618004, Accuracy: 0.745
Epoch: 25, Training Loss: 0.37655123695731163, Accuracy: 0.850625
Epoch: 25, Validation Loss: 0.4904809221625328, Accuracy: 0.7725
Epoch: 26, Training Loss: 0.37059407867491245, Accuracy: 0.853125
Epoch: 26, Validation Loss: 0.5041413083672523, Accuracy: 0.7675
Epoch: 27, Training Loss: 0.3664971385151148, Accuracy: 0.853125
Epoch: 27, Validation Loss: 0.4941983073949814, Accuracy: 0.7775
Epoch: 28, Training Loss: 0.36104801297187805, Accuracy: 0.855
Epoch: 28, Validation Loss: 0.4938504695892334, Accuracy: 0.78
Epoch: 29, Training Loss: 0.3561077695339918, Accuracy: 0.86125
Epoch: 29, Validation Loss: 0.49614328891038895, Accuracy: 0.7725
