tensor([[16,  9, 13,  ..., 19, 17, 10],
        [16,  8, 15,  ..., 21, 17,  6]])
torch.Size([2, 1000])
Epoch: 0, Training Loss: 0.6951158419251442, Accuracy: 0.49625
Epoch: 0, Validation Loss: 0.6703392714262009, Accuracy: 0.6125
Epoch: 1, Training Loss: 0.6642579324543476, Accuracy: 0.63
Epoch: 1, Validation Loss: 0.65043805539608, Accuracy: 0.685
Epoch: 2, Training Loss: 0.6279853768646717, Accuracy: 0.709375
Epoch: 2, Validation Loss: 0.6076128035783768, Accuracy: 0.6875
Epoch: 3, Training Loss: 0.575372751802206, Accuracy: 0.726875
Epoch: 3, Validation Loss: 0.5607093423604965, Accuracy: 0.695
Epoch: 4, Training Loss: 0.5244438871741295, Accuracy: 0.735625
Epoch: 4, Validation Loss: 0.5205312222242355, Accuracy: 0.7175
Epoch: 5, Training Loss: 0.48699050955474377, Accuracy: 0.7675
Epoch: 5, Validation Loss: 0.486405573785305, Accuracy: 0.7575
Epoch: 6, Training Loss: 0.45146663300693035, Accuracy: 0.8
Epoch: 6, Validation Loss: 0.46422940492630005, Accuracy: 0.7775
Epoch: 7, Training Loss: 0.4181939344853163, Accuracy: 0.81625
Epoch: 7, Validation Loss: 0.43361586332321167, Accuracy: 0.79
Epoch: 8, Training Loss: 0.3882252350449562, Accuracy: 0.835625
Epoch: 8, Validation Loss: 0.4010050967335701, Accuracy: 0.82
Epoch: 9, Training Loss: 0.3583857323974371, Accuracy: 0.85
Epoch: 9, Validation Loss: 0.37418241053819656, Accuracy: 0.82
Epoch: 10, Training Loss: 0.3293934389948845, Accuracy: 0.86
Epoch: 10, Validation Loss: 0.3491794541478157, Accuracy: 0.8325
Epoch: 11, Training Loss: 0.30485859140753746, Accuracy: 0.88
Epoch: 11, Validation Loss: 0.33414609730243683, Accuracy: 0.8275
Epoch: 12, Training Loss: 0.27960090059787035, Accuracy: 0.89625
Epoch: 12, Validation Loss: 0.316576786339283, Accuracy: 0.8475
Epoch: 13, Training Loss: 0.2554142940789461, Accuracy: 0.908125
Epoch: 13, Validation Loss: 0.2965865507721901, Accuracy: 0.86
Epoch: 14, Training Loss: 0.236696669831872, Accuracy: 0.915625
Epoch: 14, Validation Loss: 0.27921247482299805, Accuracy: 0.87
Epoch: 15, Training Loss: 0.21591750532388687, Accuracy: 0.92875
Epoch: 15, Validation Loss: 0.2634521685540676, Accuracy: 0.8825
Epoch: 16, Training Loss: 0.19867566227912903, Accuracy: 0.93625
Epoch: 16, Validation Loss: 0.2530198059976101, Accuracy: 0.89
Epoch: 17, Training Loss: 0.18236241675913334, Accuracy: 0.938125
Epoch: 17, Validation Loss: 0.24125073850154877, Accuracy: 0.89
Epoch: 18, Training Loss: 0.16659266268834472, Accuracy: 0.949375
Epoch: 18, Validation Loss: 0.23640162125229836, Accuracy: 0.9
Epoch: 19, Training Loss: 0.15435186075046659, Accuracy: 0.950625
Epoch: 19, Validation Loss: 0.22578532248735428, Accuracy: 0.9
Epoch: 20, Training Loss: 0.14150867285206914, Accuracy: 0.95625
Epoch: 20, Validation Loss: 0.21982526406645775, Accuracy: 0.9
Epoch: 21, Training Loss: 0.13205217709764838, Accuracy: 0.956875
Epoch: 21, Validation Loss: 0.20253899693489075, Accuracy: 0.905
Epoch: 22, Training Loss: 0.12169909151270986, Accuracy: 0.963125
Epoch: 22, Validation Loss: 0.21646260097622871, Accuracy: 0.9075
Epoch: 23, Training Loss: 0.1117077711969614, Accuracy: 0.968125
Epoch: 23, Validation Loss: 0.19950802624225616, Accuracy: 0.9025
Epoch: 24, Training Loss: 0.10189898405224085, Accuracy: 0.9725
Epoch: 24, Validation Loss: 0.19423223286867142, Accuracy: 0.915
Epoch: 25, Training Loss: 0.09351923922076821, Accuracy: 0.98
Epoch: 25, Validation Loss: 0.1949969008564949, Accuracy: 0.9225
Epoch: 26, Training Loss: 0.0877573499456048, Accuracy: 0.98
Epoch: 26, Validation Loss: 0.1977379396557808, Accuracy: 0.9175
Epoch: 27, Training Loss: 0.07995295035652816, Accuracy: 0.98125
Epoch: 27, Validation Loss: 0.1940154731273651, Accuracy: 0.9175
Epoch: 28, Training Loss: 0.07265063794329762, Accuracy: 0.986875
Epoch: 28, Validation Loss: 0.192150067538023, Accuracy: 0.92
Epoch: 29, Training Loss: 0.06701906700618565, Accuracy: 0.989375
Epoch: 29, Validation Loss: 0.18633760139346123, Accuracy: 0.925
