tensor([[ 9, 11, 20,  ..., 13,  8, 17],
        [16,  6, 20,  ..., 15, 20, 15]])
torch.Size([2, 1000])
Epoch: 0, Training Loss: 0.6807162575423717, Accuracy: 0.60125
Epoch: 0, Validation Loss: 0.6744943708181381, Accuracy: 0.61
Epoch: 1, Training Loss: 0.6554703898727894, Accuracy: 0.658125
Epoch: 1, Validation Loss: 0.6479111313819885, Accuracy: 0.6475
Epoch: 2, Training Loss: 0.6194946058094501, Accuracy: 0.69875
Epoch: 2, Validation Loss: 0.6092465966939926, Accuracy: 0.69
Epoch: 3, Training Loss: 0.574896827340126, Accuracy: 0.73375
Epoch: 3, Validation Loss: 0.567672923207283, Accuracy: 0.7225
Epoch: 4, Training Loss: 0.536585234105587, Accuracy: 0.738125
Epoch: 4, Validation Loss: 0.5308038964867592, Accuracy: 0.75
Epoch: 5, Training Loss: 0.5029503386467695, Accuracy: 0.760625
Epoch: 5, Validation Loss: 0.4964623898267746, Accuracy: 0.78
Epoch: 6, Training Loss: 0.4689394123852253, Accuracy: 0.788125
Epoch: 6, Validation Loss: 0.4647272378206253, Accuracy: 0.7775
Epoch: 7, Training Loss: 0.43506776727735996, Accuracy: 0.803125
Epoch: 7, Validation Loss: 0.4351463094353676, Accuracy: 0.795
Epoch: 8, Training Loss: 0.39995961636304855, Accuracy: 0.8225
Epoch: 8, Validation Loss: 0.40280831605196, Accuracy: 0.8125
Epoch: 9, Training Loss: 0.3618803322315216, Accuracy: 0.85375
Epoch: 9, Validation Loss: 0.3733739033341408, Accuracy: 0.835
Epoch: 10, Training Loss: 0.32726138457655907, Accuracy: 0.888125
Epoch: 10, Validation Loss: 0.3475757837295532, Accuracy: 0.8525
Epoch: 11, Training Loss: 0.29387823957949877, Accuracy: 0.90125
Epoch: 11, Validation Loss: 0.3223799467086792, Accuracy: 0.8575
Epoch: 12, Training Loss: 0.2612495720386505, Accuracy: 0.920625
Epoch: 12, Validation Loss: 0.2984873577952385, Accuracy: 0.8775
Epoch: 13, Training Loss: 0.2355844397097826, Accuracy: 0.9275
Epoch: 13, Validation Loss: 0.28015899285674095, Accuracy: 0.8925
Epoch: 14, Training Loss: 0.20786640886217356, Accuracy: 0.9425
Epoch: 14, Validation Loss: 0.2604427933692932, Accuracy: 0.9025
Epoch: 15, Training Loss: 0.18099747225642204, Accuracy: 0.951875
Epoch: 15, Validation Loss: 0.2463730238378048, Accuracy: 0.9075
Epoch: 16, Training Loss: 0.16115399217233062, Accuracy: 0.963125
Epoch: 16, Validation Loss: 0.23263565078377724, Accuracy: 0.9125
Epoch: 17, Training Loss: 0.14187575317919254, Accuracy: 0.965
Epoch: 17, Validation Loss: 0.22426212206482887, Accuracy: 0.915
Epoch: 18, Training Loss: 0.12440538266673684, Accuracy: 0.9775
Epoch: 18, Validation Loss: 0.21582846716046333, Accuracy: 0.9175
Epoch: 19, Training Loss: 0.11022935947403312, Accuracy: 0.984375
Epoch: 19, Validation Loss: 0.20643439888954163, Accuracy: 0.92
Epoch: 20, Training Loss: 0.0979678351432085, Accuracy: 0.983125
Epoch: 20, Validation Loss: 0.19859222322702408, Accuracy: 0.9275
Epoch: 21, Training Loss: 0.08629051689058542, Accuracy: 0.9875
Epoch: 21, Validation Loss: 0.19558662921190262, Accuracy: 0.9275
Epoch: 22, Training Loss: 0.07706336793489754, Accuracy: 0.9925
Epoch: 22, Validation Loss: 0.18508118763566017, Accuracy: 0.93
Epoch: 23, Training Loss: 0.06813014089129865, Accuracy: 0.990625
Epoch: 23, Validation Loss: 0.19309697300195694, Accuracy: 0.935
Epoch: 24, Training Loss: 0.06205118237994611, Accuracy: 0.99375
Epoch: 24, Validation Loss: 0.18180865421891212, Accuracy: 0.93
Epoch: 25, Training Loss: 0.054737740429118276, Accuracy: 0.995
Epoch: 25, Validation Loss: 0.1806941144168377, Accuracy: 0.9375
Epoch: 26, Training Loss: 0.05033355508930981, Accuracy: 0.99625
Epoch: 26, Validation Loss: 0.1749739907681942, Accuracy: 0.9275
Epoch: 27, Training Loss: 0.04449607618153095, Accuracy: 0.998125
Epoch: 27, Validation Loss: 0.17418493516743183, Accuracy: 0.9325
Epoch: 28, Training Loss: 0.040568905300460756, Accuracy: 0.998125
Epoch: 28, Validation Loss: 0.17650717310607433, Accuracy: 0.935
Epoch: 29, Training Loss: 0.03635451348964125, Accuracy: 0.99875
Epoch: 29, Validation Loss: 0.17365310341119766, Accuracy: 0.9275
