tensor([[19, 14, 12,  ..., 16, 11, 16],
        [ 6, 15, 12,  ..., 15, 17, 16]])
torch.Size([2, 1000])
Epoch: 0, Training Loss: 0.6876805908977985, Accuracy: 0.551875
Epoch: 0, Validation Loss: 0.6802659034729004, Accuracy: 0.5925
Epoch: 1, Training Loss: 0.6679217107594013, Accuracy: 0.649375
Epoch: 1, Validation Loss: 0.6582838147878647, Accuracy: 0.6575
Epoch: 2, Training Loss: 0.6383571550250053, Accuracy: 0.6875
Epoch: 2, Validation Loss: 0.6227001249790192, Accuracy: 0.6775
Epoch: 3, Training Loss: 0.5945865474641323, Accuracy: 0.71625
Epoch: 3, Validation Loss: 0.5774632692337036, Accuracy: 0.7075
Epoch: 4, Training Loss: 0.5460915118455887, Accuracy: 0.735
Epoch: 4, Validation Loss: 0.5378651171922684, Accuracy: 0.72
Epoch: 5, Training Loss: 0.5042662993073463, Accuracy: 0.76375
Epoch: 5, Validation Loss: 0.5087759718298912, Accuracy: 0.7475
Epoch: 6, Training Loss: 0.4660337474197149, Accuracy: 0.7975
Epoch: 6, Validation Loss: 0.4784037470817566, Accuracy: 0.7725
Epoch: 7, Training Loss: 0.42909244261682034, Accuracy: 0.82
Epoch: 7, Validation Loss: 0.454880990087986, Accuracy: 0.785
Epoch: 8, Training Loss: 0.39401182904839516, Accuracy: 0.835
Epoch: 8, Validation Loss: 0.42995429039001465, Accuracy: 0.7875
Epoch: 9, Training Loss: 0.35782776586711407, Accuracy: 0.86125
Epoch: 9, Validation Loss: 0.4072590544819832, Accuracy: 0.805
Epoch: 10, Training Loss: 0.3242517486214638, Accuracy: 0.876875
Epoch: 10, Validation Loss: 0.38377124071121216, Accuracy: 0.8275
Epoch: 11, Training Loss: 0.28982115630060434, Accuracy: 0.8925
Epoch: 11, Validation Loss: 0.36039649695158005, Accuracy: 0.82
Epoch: 12, Training Loss: 0.2587016774341464, Accuracy: 0.913125
Epoch: 12, Validation Loss: 0.3377062454819679, Accuracy: 0.84
Epoch: 13, Training Loss: 0.2320664981380105, Accuracy: 0.9225
Epoch: 13, Validation Loss: 0.3353281393647194, Accuracy: 0.84
Epoch: 14, Training Loss: 0.2041359394788742, Accuracy: 0.940625
Epoch: 14, Validation Loss: 0.30798330903053284, Accuracy: 0.86
Epoch: 15, Training Loss: 0.18084808439016342, Accuracy: 0.949375
Epoch: 15, Validation Loss: 0.28644783422350883, Accuracy: 0.855
Epoch: 16, Training Loss: 0.1579943411052227, Accuracy: 0.959375
Epoch: 16, Validation Loss: 0.2732262685894966, Accuracy: 0.8575
Epoch: 17, Training Loss: 0.1398042542859912, Accuracy: 0.968125
Epoch: 17, Validation Loss: 0.2727080024778843, Accuracy: 0.88
Epoch: 18, Training Loss: 0.12415169179439545, Accuracy: 0.975
Epoch: 18, Validation Loss: 0.2558460980653763, Accuracy: 0.8725
Epoch: 19, Training Loss: 0.11050445772707462, Accuracy: 0.98125
Epoch: 19, Validation Loss: 0.2610942907631397, Accuracy: 0.8875
Epoch: 20, Training Loss: 0.09849052550271153, Accuracy: 0.980625
Epoch: 20, Validation Loss: 0.23713412508368492, Accuracy: 0.8875
Epoch: 21, Training Loss: 0.08864517114125192, Accuracy: 0.984375
Epoch: 21, Validation Loss: 0.23132695630192757, Accuracy: 0.885
Epoch: 22, Training Loss: 0.07961168605834246, Accuracy: 0.9875
Epoch: 22, Validation Loss: 0.23427299782633781, Accuracy: 0.885
Epoch: 23, Training Loss: 0.07252059248276055, Accuracy: 0.99
Epoch: 23, Validation Loss: 0.2277282476425171, Accuracy: 0.8925
Epoch: 24, Training Loss: 0.06392417731694877, Accuracy: 0.99
Epoch: 24, Validation Loss: 0.2277659736573696, Accuracy: 0.885
Epoch: 25, Training Loss: 0.05903904349543154, Accuracy: 0.99125
Epoch: 25, Validation Loss: 0.21563420444726944, Accuracy: 0.895
Epoch: 26, Training Loss: 0.05381440441124141, Accuracy: 0.993125
Epoch: 26, Validation Loss: 0.2152317427098751, Accuracy: 0.905
Epoch: 27, Training Loss: 0.04841492511332035, Accuracy: 0.994375
Epoch: 27, Validation Loss: 0.21304809674620628, Accuracy: 0.8975
Epoch: 28, Training Loss: 0.04429317207541317, Accuracy: 0.995
Epoch: 28, Validation Loss: 0.2144964225590229, Accuracy: 0.9
Epoch: 29, Training Loss: 0.040341136627830565, Accuracy: 0.995625
Epoch: 29, Validation Loss: 0.21734222024679184, Accuracy: 0.91
