tensor([[12, 13, 11,  7, 13, 17, 22, 14, 13, 23,  4, 17,  6, 13, 20, 13, 12, 19,
         16, 18,  7, 10, 17,  5, 13, 18, 16, 15, 15, 14, 13, 17, 12, 21, 13, 13,
         22,  6, 13, 15,  5, 18, 16,  7, 17, 24,  7, 16, 15,  7, 20, 14, 11, 19,
         10, 17, 19, 13,  4, 16, 13, 18, 21, 16, 11, 14, 15, 17, 17,  8,  7, 20,
         11,  8, 12, 10, 16, 17, 12, 19, 13, 22, 13, 20, 15,  6,  9, 20, 13, 16,
          6, 10, 15, 17, 13, 15, 19,  8, 11, 11, 24,  7, 22, 13, 10, 14, 13,  6,
         14, 13, 13, 10, 18, 12, 19, 14, 17, 12, 16, 19, 19, 22,  9, 16, 16,  8,
          6,  6, 14,  8, 18, 23, 10, 10,  7, 23, 14, 23,  5, 22, 19, 15, 19, 10,
         18, 17, 17, 10, 16, 13, 17, 15, 23, 18,  9, 19, 12, 13, 10, 12, 24, 18,
         19, 20, 15, 15, 16, 16,  6,  5, 18, 13,  8, 11, 17, 15, 23, 17, 10, 21,
         21, 12, 18, 22, 13,  6, 11, 20, 17,  4, 10, 22, 10, 19, 17, 20, 12, 21,
         17, 21, 17, 14, 19,  9, 20,  5, 14, 14, 17, 17, 16, 15,  5,  5, 10, 15,
         20, 19, 20, 12,  5,  5, 17, 13,  9, 13, 10, 17, 18, 12, 15, 13, 22, 17,
         12, 12,  6, 22, 15, 13, 12, 11, 24, 10, 17, 17, 20, 17, 20, 10, 16, 17,
          7, 22, 12,  6, 12,  7, 17, 13, 12,  9, 15, 12, 13, 23, 11, 12, 19, 13,
         15, 22, 23, 12, 18, 18, 16, 20, 10, 13, 17, 11, 12, 20, 13, 11, 19, 17,
         11, 21, 20,  9,  9, 12,  9, 23, 21, 19, 19, 23, 11, 16,  6,  4, 23,  6,
         12, 15, 12, 17, 20, 22, 21, 11,  6,  7, 10, 22, 11,  7, 15, 13, 18, 18,
         13,  8, 14, 11, 17, 21, 18, 21, 10,  8,  8, 17,  7, 21, 14, 13, 11, 23,
          8, 14, 11, 16, 10, 12, 19, 13],
        [14, 13, 11, 21, 11, 11,  9, 15, 13, 21, 10, 11, 19, 15, 11, 22,  4, 11,
         13, 10, 11, 22, 17,  5, 12, 10, 20, 15, 14, 11,  8, 17, 12, 14, 18, 16,
         22, 11,  7,  9, 15, 17, 12,  7, 15, 20, 16, 14, 13, 12, 12,  8, 21, 19,
         17,  6, 17, 13,  4, 12, 15, 15, 18, 12, 11,  8, 15, 14, 12, 21, 10, 20,
         21, 11, 16, 10, 16, 17, 12,  8, 15, 24, 15, 12, 15, 10, 19,  8, 13, 19,
          5, 12, 13, 17, 11, 15, 21, 18, 11, 24, 24, 13, 17, 13, 18,  9, 13,  8,
         21, 13,  7, 10, 18, 16,  5, 21,  7, 16, 23, 11,  9, 22, 10, 16, 12,  8,
          6, 22, 15, 11, 16, 16, 22,  9, 13,  6,  5, 16, 16, 10,  9,  4, 19, 18,
          9, 21, 16, 21, 17, 13, 11, 15,  5, 18, 14,  9, 16, 15, 10, 10, 24, 14,
         20, 23, 13, 13, 15, 11, 19,  5, 24, 13, 13, 17, 19, 13,  7, 15, 18,  9,
          7, 21, 10, 22, 13,  6, 10, 20, 20,  7, 18,  7,  8, 12, 15,  8,  5, 21,
          7, 12, 11, 20, 24, 19, 10, 12, 10, 22, 11, 11, 12, 10, 15, 15,  7,  7,
         20,  9, 23, 12, 23,  8, 19, 16, 11, 13, 12, 11, 10,  7, 16, 15, 16, 11,
         16, 19, 18,  7, 13, 13,  9, 11,  9, 22, 22, 10, 20, 17,  9, 12, 13,  8,
         17,  7, 21, 21, 12, 14, 11,  5, 17, 19, 15, 12, 13,  6, 17, 12, 19, 13,
          8,  4,  5, 12, 17, 23,  8, 20, 18, 13, 11, 20, 16, 19, 17, 19,  9,  7,
          9, 10, 16, 19,  9, 12, 20, 11,  8, 12, 17, 13, 18, 12, 13, 14, 15, 22,
          5, 15,  6, 17,  8, 13,  7,  8, 22, 10,  7, 12, 17, 21, 13, 13, 20, 18,
          6, 15, 21, 16, 22, 21, 10, 11, 21, 20, 13,  7, 15, 21,  6, 13,  5,  8,
         17,  8, 17, 19, 17, 12, 18, 15]])
torch.Size([2, 350])
Epoch: 0, Training Loss: 0.7092363834381104, Accuracy: 0.4928571428571429
Epoch: 0, Validation Loss: 0.6862065494060516, Accuracy: 0.5285714285714286
Epoch: 1, Training Loss: 0.6920015017191569, Accuracy: 0.4928571428571429
Epoch: 1, Validation Loss: 0.6798326671123505, Accuracy: 0.5357142857142857
Epoch: 2, Training Loss: 0.6816291709740957, Accuracy: 0.5464285714285714
Epoch: 2, Validation Loss: 0.6742584109306335, Accuracy: 0.6142857142857143
Epoch: 3, Training Loss: 0.6710949738820394, Accuracy: 0.6071428571428571
Epoch: 3, Validation Loss: 0.6673336029052734, Accuracy: 0.6642857142857143
Epoch: 4, Training Loss: 0.6611867745717367, Accuracy: 0.6714285714285714
Epoch: 4, Validation Loss: 0.658816784620285, Accuracy: 0.65
Epoch: 5, Training Loss: 0.646423210700353, Accuracy: 0.7196428571428571
Epoch: 5, Validation Loss: 0.6466497182846069, Accuracy: 0.6857142857142857
Epoch: 6, Training Loss: 0.6307323575019836, Accuracy: 0.7267857142857143
Epoch: 6, Validation Loss: 0.6288178563117981, Accuracy: 0.6857142857142857
Epoch: 7, Training Loss: 0.6081007917722067, Accuracy: 0.7517857142857143
Epoch: 7, Validation Loss: 0.6085372865200043, Accuracy: 0.7071428571428572
Epoch: 8, Training Loss: 0.5862139165401459, Accuracy: 0.7446428571428572
Epoch: 8, Validation Loss: 0.5851122438907623, Accuracy: 0.7142857142857143
Epoch: 9, Training Loss: 0.5600467522939047, Accuracy: 0.7589285714285714
Epoch: 9, Validation Loss: 0.560258150100708, Accuracy: 0.7357142857142858
Epoch: 10, Training Loss: 0.5334505339463552, Accuracy: 0.7660714285714286
Epoch: 10, Validation Loss: 0.5345490127801895, Accuracy: 0.7571428571428571
Epoch: 11, Training Loss: 0.5099900364875793, Accuracy: 0.7696428571428572
Epoch: 11, Validation Loss: 0.5173596888780594, Accuracy: 0.7571428571428571
Epoch: 12, Training Loss: 0.49137766162554425, Accuracy: 0.7910714285714285
Epoch: 12, Validation Loss: 0.4958129823207855, Accuracy: 0.7642857142857142
Epoch: 13, Training Loss: 0.47007450461387634, Accuracy: 0.8
Epoch: 13, Validation Loss: 0.48134057223796844, Accuracy: 0.7714285714285715
Epoch: 14, Training Loss: 0.4504259377717972, Accuracy: 0.8017857142857143
Epoch: 14, Validation Loss: 0.4702492654323578, Accuracy: 0.7571428571428571
Epoch: 15, Training Loss: 0.44088029364744824, Accuracy: 0.8035714285714286
Epoch: 15, Validation Loss: 0.4511878788471222, Accuracy: 0.7857142857142857
Epoch: 16, Training Loss: 0.4226395587126414, Accuracy: 0.8178571428571428
Epoch: 16, Validation Loss: 0.4488885849714279, Accuracy: 0.7928571428571428
Epoch: 17, Training Loss: 0.4124275843302409, Accuracy: 0.8196428571428571
Epoch: 17, Validation Loss: 0.4342094510793686, Accuracy: 0.7785714285714286
Epoch: 18, Training Loss: 0.38913071155548096, Accuracy: 0.8410714285714286
Epoch: 18, Validation Loss: 0.4296496659517288, Accuracy: 0.8142857142857143
Epoch: 19, Training Loss: 0.37847383817036945, Accuracy: 0.8321428571428572
Epoch: 19, Validation Loss: 0.4109088331460953, Accuracy: 0.8
Epoch: 20, Training Loss: 0.36422471205393475, Accuracy: 0.85
Epoch: 20, Validation Loss: 0.4050237536430359, Accuracy: 0.8142857142857143
Epoch: 21, Training Loss: 0.3513581206401189, Accuracy: 0.85
Epoch: 21, Validation Loss: 0.3926388621330261, Accuracy: 0.8142857142857143
Epoch: 22, Training Loss: 0.334448700149854, Accuracy: 0.8589285714285714
Epoch: 22, Validation Loss: 0.3880653977394104, Accuracy: 0.8285714285714286
Epoch: 23, Training Loss: 0.3224250028530757, Accuracy: 0.8714285714285714
Epoch: 23, Validation Loss: 0.37971043586730957, Accuracy: 0.8142857142857143
Epoch: 24, Training Loss: 0.30726689100265503, Accuracy: 0.8785714285714286
Epoch: 24, Validation Loss: 0.3654613494873047, Accuracy: 0.8357142857142857
Epoch: 25, Training Loss: 0.2987668290734291, Accuracy: 0.8785714285714286
Epoch: 25, Validation Loss: 0.3571281433105469, Accuracy: 0.8285714285714286
Epoch: 26, Training Loss: 0.2811591972907384, Accuracy: 0.8857142857142857
Epoch: 26, Validation Loss: 0.36135026812553406, Accuracy: 0.8357142857142857
