tensor([[16,  8, 17,  ..., 13, 19, 16],
        [19, 20,  6,  ...,  9,  7, 15]])
torch.Size([2, 550])
Epoch: 0, Training Loss: 0.7017815974023607, Accuracy: 0.49772727272727274
Epoch: 0, Validation Loss: 0.6907458106676737, Accuracy: 0.5227272727272727
Epoch: 1, Training Loss: 0.6805141766866049, Accuracy: 0.5443181818181818
Epoch: 1, Validation Loss: 0.6752395828564962, Accuracy: 0.6136363636363636
Epoch: 2, Training Loss: 0.6618465118938022, Accuracy: 0.6454545454545455
Epoch: 2, Validation Loss: 0.6583411693572998, Accuracy: 0.6545454545454545
Epoch: 3, Training Loss: 0.637868152724372, Accuracy: 0.6886363636363636
Epoch: 3, Validation Loss: 0.6353519956270853, Accuracy: 0.6818181818181818
Epoch: 4, Training Loss: 0.6038641333580017, Accuracy: 0.7068181818181818
Epoch: 4, Validation Loss: 0.6046355764071146, Accuracy: 0.7
Epoch: 5, Training Loss: 0.5638489060931735, Accuracy: 0.7318181818181818
Epoch: 5, Validation Loss: 0.5746172865231832, Accuracy: 0.7181818181818181
Epoch: 6, Training Loss: 0.524660223060184, Accuracy: 0.7556818181818182
Epoch: 6, Validation Loss: 0.5538347562154134, Accuracy: 0.7272727272727273
Epoch: 7, Training Loss: 0.48884867628415424, Accuracy: 0.7784090909090909
Epoch: 7, Validation Loss: 0.538138190905253, Accuracy: 0.7272727272727273
Epoch: 8, Training Loss: 0.45973482728004456, Accuracy: 0.7909090909090909
Epoch: 8, Validation Loss: 0.5294122894605001, Accuracy: 0.7454545454545455
Epoch: 9, Training Loss: 0.43877095315191483, Accuracy: 0.8
Epoch: 9, Validation Loss: 0.5264873107274374, Accuracy: 0.7363636363636363
Epoch: 10, Training Loss: 0.4182041817241245, Accuracy: 0.8227272727272728
Epoch: 10, Validation Loss: 0.5141016443570455, Accuracy: 0.7681818181818182
Epoch: 11, Training Loss: 0.3955366412798564, Accuracy: 0.8363636363636363
Epoch: 11, Validation Loss: 0.5068120658397675, Accuracy: 0.7727272727272727
Epoch: 12, Training Loss: 0.3805677493413289, Accuracy: 0.8375
Epoch: 12, Validation Loss: 0.4995586971441905, Accuracy: 0.7727272727272727
Epoch: 13, Training Loss: 0.3606015344460805, Accuracy: 0.8590909090909091
Epoch: 13, Validation Loss: 0.4919086794058482, Accuracy: 0.7772727272727272
Epoch: 14, Training Loss: 0.34004096190134686, Accuracy: 0.8704545454545455
Epoch: 14, Validation Loss: 0.4826255738735199, Accuracy: 0.8
Epoch: 15, Training Loss: 0.3242493470509847, Accuracy: 0.8738636363636364
Epoch: 15, Validation Loss: 0.47562790910402936, Accuracy: 0.7954545454545454
Epoch: 16, Training Loss: 0.3064802355236477, Accuracy: 0.8795454545454545
Epoch: 16, Validation Loss: 0.469663808743159, Accuracy: 0.8
Epoch: 17, Training Loss: 0.2916945086585151, Accuracy: 0.8875
Epoch: 17, Validation Loss: 0.4605487088362376, Accuracy: 0.8045454545454546
Epoch: 18, Training Loss: 0.27441327108277214, Accuracy: 0.8954545454545455
Epoch: 18, Validation Loss: 0.45383060971895856, Accuracy: 0.8181818181818182
Epoch: 19, Training Loss: 0.2601950897110833, Accuracy: 0.9
Epoch: 19, Validation Loss: 0.4556075135866801, Accuracy: 0.8181818181818182
Epoch: 20, Training Loss: 0.24678494367334577, Accuracy: 0.9056818181818181
Epoch: 20, Validation Loss: 0.44899359345436096, Accuracy: 0.8272727272727273
Epoch: 21, Training Loss: 0.2320913788345125, Accuracy: 0.9102272727272728
Epoch: 21, Validation Loss: 0.44185101985931396, Accuracy: 0.8318181818181818
Epoch: 22, Training Loss: 0.21838291651672787, Accuracy: 0.9181818181818182
Epoch: 22, Validation Loss: 0.436893771092097, Accuracy: 0.8318181818181818
Epoch: 23, Training Loss: 0.20909794833925036, Accuracy: 0.9261363636363636
Epoch: 23, Validation Loss: 0.44172988335291546, Accuracy: 0.8409090909090909
Epoch: 24, Training Loss: 0.1986527128352059, Accuracy: 0.928409090909091
Epoch: 24, Validation Loss: 0.43048204978307086, Accuracy: 0.8363636363636363
Epoch: 25, Training Loss: 0.18672355843914878, Accuracy: 0.9295454545454546
Epoch: 25, Validation Loss: 0.4546456237634023, Accuracy: 0.8454545454545455
Epoch: 26, Training Loss: 0.178422588441107, Accuracy: 0.9340909090909091
Epoch: 26, Validation Loss: 0.42757657170295715, Accuracy: 0.8272727272727273
Epoch: 27, Training Loss: 0.16957707206408182, Accuracy: 0.9397727272727273
Epoch: 27, Validation Loss: 0.41818984349568683, Accuracy: 0.8409090909090909
Epoch: 28, Training Loss: 0.15773767232894897, Accuracy: 0.946590909090909
Epoch: 28, Validation Loss: 0.45958212018013, Accuracy: 0.8409090909090909
Epoch: 29, Training Loss: 0.15039493557479647, Accuracy: 0.95
Epoch: 29, Validation Loss: 0.42533719539642334, Accuracy: 0.8545454545454545
