tensor([[14, 19, 23,  ..., 10,  6, 22],
        [ 8, 10,  9,  ...,  9, 11,  6]])
torch.Size([2, 650])
Epoch: 0, Training Loss: 0.695053284818476, Accuracy: 0.5115384615384615
Epoch: 0, Validation Loss: 0.6916755437850952, Accuracy: 0.48846153846153845
Epoch: 1, Training Loss: 0.6754066077145663, Accuracy: 0.5557692307692308
Epoch: 1, Validation Loss: 0.6711387832959493, Accuracy: 0.573076923076923
Epoch: 2, Training Loss: 0.65346313606609, Accuracy: 0.65
Epoch: 2, Validation Loss: 0.6459503571192423, Accuracy: 0.6846153846153846
Epoch: 3, Training Loss: 0.6205115751786665, Accuracy: 0.7076923076923077
Epoch: 3, Validation Loss: 0.6100102663040161, Accuracy: 0.6961538461538461
Epoch: 4, Training Loss: 0.5829318436709318, Accuracy: 0.7365384615384616
Epoch: 4, Validation Loss: 0.5734459360440572, Accuracy: 0.7230769230769231
Epoch: 5, Training Loss: 0.5376790220087225, Accuracy: 0.7663461538461539
Epoch: 5, Validation Loss: 0.5387992064158121, Accuracy: 0.7615384615384615
Epoch: 6, Training Loss: 0.5011664385145361, Accuracy: 0.7711538461538462
Epoch: 6, Validation Loss: 0.5116219421227773, Accuracy: 0.7730769230769231
Epoch: 7, Training Loss: 0.4684464064511386, Accuracy: 0.7932692307692307
Epoch: 7, Validation Loss: 0.48980288704236347, Accuracy: 0.7769230769230769
Epoch: 8, Training Loss: 0.44203264875845477, Accuracy: 0.8067307692307693
Epoch: 8, Validation Loss: 0.4682089686393738, Accuracy: 0.7846153846153846
Epoch: 9, Training Loss: 0.41337965293364093, Accuracy: 0.8173076923076923
Epoch: 9, Validation Loss: 0.4595256845156352, Accuracy: 0.7807692307692308
Epoch: 10, Training Loss: 0.39375839721072803, Accuracy: 0.8278846153846153
Epoch: 10, Validation Loss: 0.45356204112370807, Accuracy: 0.7807692307692308
Epoch: 11, Training Loss: 0.3722962899641557, Accuracy: 0.8451923076923077
Epoch: 11, Validation Loss: 0.4342566629250844, Accuracy: 0.7846153846153846
Epoch: 12, Training Loss: 0.34570980884812097, Accuracy: 0.8625
Epoch: 12, Validation Loss: 0.41193867723147076, Accuracy: 0.7846153846153846
Epoch: 13, Training Loss: 0.3315145183693279, Accuracy: 0.8730769230769231
Epoch: 13, Validation Loss: 0.40389760335286456, Accuracy: 0.7846153846153846
Epoch: 14, Training Loss: 0.30481738123026764, Accuracy: 0.8932692307692308
Epoch: 14, Validation Loss: 0.388209601243337, Accuracy: 0.7923076923076923
Epoch: 15, Training Loss: 0.28372809290885925, Accuracy: 0.8903846153846153
Epoch: 15, Validation Loss: 0.373876025279363, Accuracy: 0.8
Epoch: 16, Training Loss: 0.2708348726684397, Accuracy: 0.9076923076923077
Epoch: 16, Validation Loss: 0.36226605375607807, Accuracy: 0.8
Epoch: 17, Training Loss: 0.24733588912270285, Accuracy: 0.9067307692307692
Epoch: 17, Validation Loss: 0.3588411013285319, Accuracy: 0.8153846153846154
Epoch: 18, Training Loss: 0.23364931344985962, Accuracy: 0.9201923076923076
Epoch: 18, Validation Loss: 0.35020556052525836, Accuracy: 0.8307692307692308
Epoch: 19, Training Loss: 0.2106679772788828, Accuracy: 0.925
Epoch: 19, Validation Loss: 0.34146513044834137, Accuracy: 0.8423076923076923
Epoch: 20, Training Loss: 0.20081289654428308, Accuracy: 0.9278846153846154
Epoch: 20, Validation Loss: 0.3349667191505432, Accuracy: 0.8307692307692308
Epoch: 21, Training Loss: 0.18605638634074817, Accuracy: 0.9375
Epoch: 21, Validation Loss: 0.3176400860150655, Accuracy: 0.8615384615384616
Epoch: 22, Training Loss: 0.1655795919624242, Accuracy: 0.9490384615384615
Epoch: 22, Validation Loss: 0.31780731678009033, Accuracy: 0.8576923076923076
Epoch: 23, Training Loss: 0.15813719413497232, Accuracy: 0.9519230769230769
Epoch: 23, Validation Loss: 0.3171168069044749, Accuracy: 0.8692307692307693
Epoch: 24, Training Loss: 0.1473426412452351, Accuracy: 0.9557692307692308
Epoch: 24, Validation Loss: 0.3178215225537618, Accuracy: 0.8461538461538461
Epoch: 25, Training Loss: 0.13379196958108383, Accuracy: 0.9644230769230769
Epoch: 25, Validation Loss: 0.305923933784167, Accuracy: 0.8538461538461538
Epoch: 26, Training Loss: 0.1253169043497606, Accuracy: 0.9673076923076923
Epoch: 26, Validation Loss: 0.3140642046928406, Accuracy: 0.8538461538461538
Epoch: 27, Training Loss: 0.11873402717438611, Accuracy: 0.9701923076923077
Epoch: 27, Validation Loss: 0.33994875351587933, Accuracy: 0.8423076923076923
Epoch: 28, Training Loss: 0.11079636012965982, Accuracy: 0.9663461538461539
Epoch: 28, Validation Loss: 0.30804696679115295, Accuracy: 0.8846153846153846
Epoch: 29, Training Loss: 0.10120454159649936, Accuracy: 0.9769230769230769
Epoch: 29, Validation Loss: 0.30146046976248425, Accuracy: 0.8730769230769231
