tensor([[11, 24, 16,  ..., 17,  6, 15],
        [12,  4, 16,  ..., 11,  6, 15]])
torch.Size([2, 750])
Epoch: 0, Training Loss: 0.7008992532889048, Accuracy: 0.49666666666666665
Epoch: 0, Validation Loss: 0.6816654404004415, Accuracy: 0.5433333333333333
Epoch: 1, Training Loss: 0.6803626368443171, Accuracy: 0.5541666666666667
Epoch: 1, Validation Loss: 0.6713707645734152, Accuracy: 0.6466666666666666
Epoch: 2, Training Loss: 0.6645986437797546, Accuracy: 0.6483333333333333
Epoch: 2, Validation Loss: 0.6546095808347067, Accuracy: 0.67
Epoch: 3, Training Loss: 0.643010010321935, Accuracy: 0.6825
Epoch: 3, Validation Loss: 0.6305869023005167, Accuracy: 0.6833333333333333
Epoch: 4, Training Loss: 0.6135617742935816, Accuracy: 0.7025
Epoch: 4, Validation Loss: 0.6002280116081238, Accuracy: 0.7
Epoch: 5, Training Loss: 0.5774585405985514, Accuracy: 0.7241666666666666
Epoch: 5, Validation Loss: 0.5647003650665283, Accuracy: 0.72
Epoch: 6, Training Loss: 0.5437670797109604, Accuracy: 0.745
Epoch: 6, Validation Loss: 0.5405996938546499, Accuracy: 0.7366666666666667
Epoch: 7, Training Loss: 0.5134734933574995, Accuracy: 0.7625
Epoch: 7, Validation Loss: 0.5209785501162211, Accuracy: 0.7633333333333333
Epoch: 8, Training Loss: 0.4877078632513682, Accuracy: 0.7733333333333333
Epoch: 8, Validation Loss: 0.5028453866640726, Accuracy: 0.7566666666666667
Epoch: 9, Training Loss: 0.4629128997524579, Accuracy: 0.7908333333333334
Epoch: 9, Validation Loss: 0.48673751950263977, Accuracy: 0.7566666666666667
Epoch: 10, Training Loss: 0.43925782789786655, Accuracy: 0.7966666666666666
Epoch: 10, Validation Loss: 0.4736400842666626, Accuracy: 0.76
Epoch: 11, Training Loss: 0.4181593855222066, Accuracy: 0.8125
Epoch: 11, Validation Loss: 0.454747994740804, Accuracy: 0.7666666666666667
Epoch: 12, Training Loss: 0.39428239315748215, Accuracy: 0.8291666666666667
Epoch: 12, Validation Loss: 0.434120108683904, Accuracy: 0.7866666666666666
Epoch: 13, Training Loss: 0.37089644620815915, Accuracy: 0.8466666666666667
Epoch: 13, Validation Loss: 0.41554675499598187, Accuracy: 0.8
Epoch: 14, Training Loss: 0.3486240903536479, Accuracy: 0.8633333333333333
Epoch: 14, Validation Loss: 0.3952069381872813, Accuracy: 0.8033333333333333
Epoch: 15, Training Loss: 0.3243696639935176, Accuracy: 0.8725
Epoch: 15, Validation Loss: 0.3795081476370494, Accuracy: 0.8166666666666667
Epoch: 16, Training Loss: 0.30320778613289195, Accuracy: 0.885
Epoch: 16, Validation Loss: 0.36777013540267944, Accuracy: 0.8166666666666667
Epoch: 17, Training Loss: 0.2814558620254199, Accuracy: 0.8983333333333333
Epoch: 17, Validation Loss: 0.3470153907934825, Accuracy: 0.8333333333333334
Epoch: 18, Training Loss: 0.25982362156112987, Accuracy: 0.91
Epoch: 18, Validation Loss: 0.3386463125546773, Accuracy: 0.83
Epoch: 19, Training Loss: 0.2395156311492125, Accuracy: 0.9141666666666667
Epoch: 19, Validation Loss: 0.3269326190153758, Accuracy: 0.84
Epoch: 20, Training Loss: 0.22160354380806288, Accuracy: 0.9241666666666667
Epoch: 20, Validation Loss: 0.3099699517091115, Accuracy: 0.8566666666666667
Epoch: 21, Training Loss: 0.2039146088063717, Accuracy: 0.935
Epoch: 21, Validation Loss: 0.29842909177144367, Accuracy: 0.8566666666666667
Epoch: 22, Training Loss: 0.18716861680150032, Accuracy: 0.9458333333333333
Epoch: 22, Validation Loss: 0.2872038086255391, Accuracy: 0.8533333333333334
Epoch: 23, Training Loss: 0.17299315333366394, Accuracy: 0.9516666666666667
Epoch: 23, Validation Loss: 0.2841900885105133, Accuracy: 0.85
Epoch: 24, Training Loss: 0.16031991938749948, Accuracy: 0.9566666666666667
Epoch: 24, Validation Loss: 0.27711130181948346, Accuracy: 0.8633333333333333
Epoch: 25, Training Loss: 0.14866186305880547, Accuracy: 0.9566666666666667
Epoch: 25, Validation Loss: 0.27236570914586383, Accuracy: 0.8666666666666667
Epoch: 26, Training Loss: 0.1350950114428997, Accuracy: 0.9691666666666666
Epoch: 26, Validation Loss: 0.2661192715167999, Accuracy: 0.8733333333333333
Epoch: 27, Training Loss: 0.12592415511608124, Accuracy: 0.9716666666666667
Epoch: 27, Validation Loss: 0.268914262453715, Accuracy: 0.8733333333333333
Epoch: 28, Training Loss: 0.11581371538341045, Accuracy: 0.9758333333333333
Epoch: 28, Validation Loss: 0.2611197382211685, Accuracy: 0.8733333333333333
Epoch: 29, Training Loss: 0.10640852463742097, Accuracy: 0.9733333333333334
Epoch: 29, Validation Loss: 0.25963130593299866, Accuracy: 0.8766666666666667
