tensor([[12, 16, 21,  ...,  6, 10, 22],
        [12, 12, 16,  ..., 21, 11, 12]])
torch.Size([2, 850])
Epoch: 0, Training Loss: 0.6959941770349231, Accuracy: 0.5095588235294117
Epoch: 0, Validation Loss: 0.6888285577297211, Accuracy: 0.5
Epoch: 1, Training Loss: 0.6743023438113076, Accuracy: 0.5897058823529412
Epoch: 1, Validation Loss: 0.669995054602623, Accuracy: 0.6147058823529412
Epoch: 2, Training Loss: 0.6518268414906093, Accuracy: 0.6639705882352941
Epoch: 2, Validation Loss: 0.6457321345806122, Accuracy: 0.6794117647058824
Epoch: 3, Training Loss: 0.6182873163904462, Accuracy: 0.6948529411764706
Epoch: 3, Validation Loss: 0.6105829626321793, Accuracy: 0.7058823529411765
Epoch: 4, Training Loss: 0.5740313359669277, Accuracy: 0.7294117647058823
Epoch: 4, Validation Loss: 0.573162242770195, Accuracy: 0.7323529411764705
Epoch: 5, Training Loss: 0.5329402961901256, Accuracy: 0.7455882352941177
Epoch: 5, Validation Loss: 0.546602874994278, Accuracy: 0.7588235294117647
Epoch: 6, Training Loss: 0.5019935582365308, Accuracy: 0.7713235294117647
Epoch: 6, Validation Loss: 0.5226349383592606, Accuracy: 0.7617647058823529
Epoch: 7, Training Loss: 0.4699884589229311, Accuracy: 0.8029411764705883
Epoch: 7, Validation Loss: 0.5016647502779961, Accuracy: 0.7617647058823529
Epoch: 8, Training Loss: 0.43921189435890745, Accuracy: 0.825
Epoch: 8, Validation Loss: 0.48263614624738693, Accuracy: 0.7764705882352941
Epoch: 9, Training Loss: 0.4116270904030119, Accuracy: 0.8382352941176471
Epoch: 9, Validation Loss: 0.46165018528699875, Accuracy: 0.7941176470588235
Epoch: 10, Training Loss: 0.3843243292399815, Accuracy: 0.8566176470588235
Epoch: 10, Validation Loss: 0.4413595423102379, Accuracy: 0.8147058823529412
Epoch: 11, Training Loss: 0.3577718585729599, Accuracy: 0.8698529411764706
Epoch: 11, Validation Loss: 0.42233605682849884, Accuracy: 0.8176470588235294
Epoch: 12, Training Loss: 0.3333571319069181, Accuracy: 0.8794117647058823
Epoch: 12, Validation Loss: 0.40244879573583603, Accuracy: 0.8294117647058824
Epoch: 13, Training Loss: 0.30754303293568747, Accuracy: 0.8897058823529411
Epoch: 13, Validation Loss: 0.38913602381944656, Accuracy: 0.8264705882352941
Epoch: 14, Training Loss: 0.28470600289957865, Accuracy: 0.8970588235294118
Epoch: 14, Validation Loss: 0.3763628527522087, Accuracy: 0.8294117647058824
Epoch: 15, Training Loss: 0.26457720569201876, Accuracy: 0.9073529411764706
Epoch: 15, Validation Loss: 0.356830395758152, Accuracy: 0.8352941176470589
Epoch: 16, Training Loss: 0.24177842267921992, Accuracy: 0.9169117647058823
Epoch: 16, Validation Loss: 0.342948354780674, Accuracy: 0.8529411764705882
Epoch: 17, Training Loss: 0.2224474996328354, Accuracy: 0.9294117647058824
Epoch: 17, Validation Loss: 0.3301335349678993, Accuracy: 0.861764705882353
Epoch: 18, Training Loss: 0.2068015539220401, Accuracy: 0.9397058823529412
Epoch: 18, Validation Loss: 0.3239615932106972, Accuracy: 0.8529411764705882
Epoch: 19, Training Loss: 0.1857552549668721, Accuracy: 0.9448529411764706
Epoch: 19, Validation Loss: 0.3244106322526932, Accuracy: 0.8411764705882353
Epoch: 20, Training Loss: 0.17580108131681169, Accuracy: 0.9470588235294117
Epoch: 20, Validation Loss: 0.3070974126458168, Accuracy: 0.8647058823529412
Epoch: 21, Training Loss: 0.15827783250382968, Accuracy: 0.9536764705882353
Epoch: 21, Validation Loss: 0.29291245341300964, Accuracy: 0.8735294117647059
Epoch: 22, Training Loss: 0.14352706234369958, Accuracy: 0.9573529411764706
Epoch: 22, Validation Loss: 0.31176552176475525, Accuracy: 0.8764705882352941
Epoch: 23, Training Loss: 0.1297407682452883, Accuracy: 0.9691176470588235
Epoch: 23, Validation Loss: 0.2904629707336426, Accuracy: 0.8911764705882353
Epoch: 24, Training Loss: 0.11896046357495445, Accuracy: 0.9698529411764706
Epoch: 24, Validation Loss: 0.28670621663331985, Accuracy: 0.8764705882352941
Epoch: 25, Training Loss: 0.10788856819272041, Accuracy: 0.975
Epoch: 25, Validation Loss: 0.28931373357772827, Accuracy: 0.8911764705882353
Epoch: 26, Training Loss: 0.10049914355788912, Accuracy: 0.975
Epoch: 26, Validation Loss: 0.2823034003376961, Accuracy: 0.8941176470588236
Epoch: 27, Training Loss: 0.09214917091386658, Accuracy: 0.9830882352941176
Epoch: 27, Validation Loss: 0.27170199155807495, Accuracy: 0.8970588235294118
Epoch: 28, Training Loss: 0.08309602152023997, Accuracy: 0.9838235294117647
Epoch: 28, Validation Loss: 0.2724554240703583, Accuracy: 0.8941176470588236
Epoch: 29, Training Loss: 0.07742636810456004, Accuracy: 0.9838235294117647
Epoch: 29, Validation Loss: 0.2747170329093933, Accuracy: 0.9029411764705882
