tensor([[17, 12, 21,  ..., 10, 16, 16],
        [11, 21, 11,  ..., 13, 12, 12]])
torch.Size([2, 950])
Epoch: 0, Training Loss: 0.6962085589766502, Accuracy: 0.5052631578947369
Epoch: 0, Validation Loss: 0.6767274141311646, Accuracy: 0.6026315789473684
Epoch: 1, Training Loss: 0.6719909608364105, Accuracy: 0.625
Epoch: 1, Validation Loss: 0.6601582318544388, Accuracy: 0.6605263157894737
Epoch: 2, Training Loss: 0.6443831026554108, Accuracy: 0.6697368421052632
Epoch: 2, Validation Loss: 0.6266884505748749, Accuracy: 0.7
Epoch: 3, Training Loss: 0.6034821905195713, Accuracy: 0.7072368421052632
Epoch: 3, Validation Loss: 0.5881171971559525, Accuracy: 0.7131578947368421
Epoch: 4, Training Loss: 0.5557520836591721, Accuracy: 0.7230263157894737
Epoch: 4, Validation Loss: 0.5527118891477585, Accuracy: 0.7289473684210527
Epoch: 5, Training Loss: 0.508381150662899, Accuracy: 0.7513157894736842
Epoch: 5, Validation Loss: 0.5235452875494957, Accuracy: 0.7447368421052631
Epoch: 6, Training Loss: 0.4780553635209799, Accuracy: 0.7769736842105263
Epoch: 6, Validation Loss: 0.5012837648391724, Accuracy: 0.7736842105263158
Epoch: 7, Training Loss: 0.4365054164081812, Accuracy: 0.8078947368421052
Epoch: 7, Validation Loss: 0.4838523417711258, Accuracy: 0.7921052631578948
Epoch: 8, Training Loss: 0.4121197685599327, Accuracy: 0.8309210526315789
Epoch: 8, Validation Loss: 0.4432182237505913, Accuracy: 0.8026315789473685
Epoch: 9, Training Loss: 0.3692955784499645, Accuracy: 0.844078947368421
Epoch: 9, Validation Loss: 0.4185999780893326, Accuracy: 0.8236842105263158
Epoch: 10, Training Loss: 0.34500141255557537, Accuracy: 0.8638157894736842
Epoch: 10, Validation Loss: 0.3781592324376106, Accuracy: 0.8447368421052631
Epoch: 11, Training Loss: 0.31165919825434685, Accuracy: 0.875
Epoch: 11, Validation Loss: 0.3652375489473343, Accuracy: 0.8447368421052631
Epoch: 12, Training Loss: 0.28184407856315374, Accuracy: 0.8875
Epoch: 12, Validation Loss: 0.3365776911377907, Accuracy: 0.85
Epoch: 13, Training Loss: 0.2661720123142004, Accuracy: 0.9052631578947369
Epoch: 13, Validation Loss: 0.30965355783700943, Accuracy: 0.8710526315789474
Epoch: 14, Training Loss: 0.2383867558091879, Accuracy: 0.9144736842105263
Epoch: 14, Validation Loss: 0.2978910431265831, Accuracy: 0.8710526315789474
Epoch: 15, Training Loss: 0.2205175617709756, Accuracy: 0.9269736842105263
Epoch: 15, Validation Loss: 0.3013688400387764, Accuracy: 0.8657894736842106
Epoch: 16, Training Loss: 0.1978155099786818, Accuracy: 0.9375
Epoch: 16, Validation Loss: 0.263102225959301, Accuracy: 0.8842105263157894
Epoch: 17, Training Loss: 0.18250836711376905, Accuracy: 0.9401315789473684
Epoch: 17, Validation Loss: 0.250135213136673, Accuracy: 0.8868421052631579
Epoch: 18, Training Loss: 0.16408358281478286, Accuracy: 0.9473684210526315
Epoch: 18, Validation Loss: 0.2411627396941185, Accuracy: 0.8947368421052632
Epoch: 19, Training Loss: 0.1523614930920303, Accuracy: 0.9526315789473684
Epoch: 19, Validation Loss: 0.22958564013242722, Accuracy: 0.9078947368421053
Epoch: 20, Training Loss: 0.1360581680200994, Accuracy: 0.9592105263157895
Epoch: 20, Validation Loss: 0.2328045330941677, Accuracy: 0.8894736842105263
Epoch: 21, Training Loss: 0.12630554614588618, Accuracy: 0.9638157894736842
Epoch: 21, Validation Loss: 0.2202363908290863, Accuracy: 0.9105263157894737
Epoch: 22, Training Loss: 0.11556766973808408, Accuracy: 0.968421052631579
Epoch: 22, Validation Loss: 0.23256052285432816, Accuracy: 0.9026315789473685
Epoch: 23, Training Loss: 0.11739660589955747, Accuracy: 0.9703947368421053
Epoch: 23, Validation Loss: 0.24379106238484383, Accuracy: 0.881578947368421
Epoch: 24, Training Loss: 0.10792790446430445, Accuracy: 0.9697368421052631
Epoch: 24, Validation Loss: 0.24837743118405342, Accuracy: 0.8868421052631579
Epoch: 25, Training Loss: 0.09474401827901602, Accuracy: 0.9796052631578948
Epoch: 25, Validation Loss: 0.19316858425736427, Accuracy: 0.9105263157894737
Epoch: 26, Training Loss: 0.08683364884927869, Accuracy: 0.9809210526315789
Epoch: 26, Validation Loss: 0.19246985763311386, Accuracy: 0.9078947368421053
Epoch: 27, Training Loss: 0.07869313191622496, Accuracy: 0.9822368421052632
Epoch: 27, Validation Loss: 0.21111465618014336, Accuracy: 0.9078947368421053
Epoch: 28, Training Loss: 0.07532510976307094, Accuracy: 0.9861842105263158
Epoch: 28, Validation Loss: 0.18944137915968895, Accuracy: 0.9157894736842105
Epoch: 29, Training Loss: 0.06543147633783519, Accuracy: 0.9861842105263158
Epoch: 29, Validation Loss: 0.19170575216412544, Accuracy: 0.9078947368421053
