label,phase,epoch,loss,matrix,layer,head,shape,cond,eff_rank_50,spectral_entropy,norm_entropy,sv_max,sv_min,sv_mean
w64_ep7_m1,w64,7,6.092,Q,0,0,"(256, 64)",2.827263593673706,26,4.123326301574707,0.9914504012081434,2.9868555068969727,1.0564475059509277,1.9370558261871338
w64_ep7_m1,w64,7,6.092,Q,0,1,"(256, 64)",2.9531447887420654,26,4.123725414276123,0.991546367527325,2.993680238723755,1.0137262344360352,1.943288803100586
w64_ep7_m1,w64,7,6.092,Q,0,2,"(256, 64)",3.014895439147949,25,4.122244834899902,0.9911903634400389,2.960481882095337,0.9819517731666565,1.9287121295928955
w64_ep7_m1,w64,7,6.092,Q,0,3,"(256, 64)",2.8268823623657227,26,4.125215530395508,0.9919046647166224,3.0277819633483887,1.0710675716400146,1.9386461973190308
w64_ep7_m1,w64,7,6.092,K,0,0,"(256, 64)",2.968301773071289,26,4.122584342956543,0.9912719978716484,3.0009942054748535,1.0110138654708862,1.9310106039047241
w64_ep7_m1,w64,7,6.092,K,0,1,"(256, 64)",2.8198344707489014,26,4.1258697509765625,0.9920619715146116,3.0074214935302734,1.0665241479873657,1.93691086769104
w64_ep7_m1,w64,7,6.092,K,0,2,"(256, 64)",2.8425588607788086,26,4.125232219696045,0.9919086776451426,2.993134021759033,1.0529717206954956,1.9452208280563354
w64_ep7_m1,w64,7,6.092,K,0,3,"(256, 64)",2.7198565006256104,25,4.123434066772461,0.9914763132608735,2.9368796348571777,1.0797921419143677,1.9305732250213623
w64_ep7_m1,w64,7,6.092,V,0,0,"(256, 64)",2.7669789791107178,25,4.122430801391602,0.9912350789292632,2.9263663291931152,1.057603359222412,1.9297882318496704
w64_ep7_m1,w64,7,6.092,V,0,1,"(256, 64)",2.9506964683532715,25,4.120996952056885,0.9908903110418336,2.9753334522247314,1.0083495378494263,1.937456488609314
w64_ep7_m1,w64,7,6.092,V,0,2,"(256, 64)",2.941803455352783,25,4.120692253112793,0.9908170464325661,2.935019016265869,0.9976937770843506,1.9305822849273682
w64_ep7_m1,w64,7,6.092,V,0,3,"(256, 64)",2.9147496223449707,25,4.121156692504883,0.9909287205005263,2.945619583129883,1.01059091091156,1.9310181140899658
w64_ep7_m1,w64,7,6.092,Wo,0,-1,"(256, 256)",6024.0869140625,63,5.234513759613037,0.9439758803073466,2.159432888031006,0.0003584664373192936,0.8162375092506409
w64_ep7_m1,w64,7,6.092,FFN_up,0,-1,"(1024, 256)",5.778295993804932,99,5.502714157104492,0.992342303235518,3.6051650047302246,0.623914897441864,1.2245659828186035
w64_ep7_m1,w64,7,6.092,FFN_down,0,-1,"(256, 1024)",10.414389610290527,83,5.4405622482299805,0.9811340218961379,3.1630916595458984,0.30372318625450134,0.7608038783073425
w64_ep7_m1,w64,7,6.092,Q,1,0,"(256, 64)",2.899362087249756,26,4.123850345611572,0.9915764071636756,3.010748863220215,1.0384176969528198,1.9487793445587158
w64_ep7_m1,w64,7,6.092,Q,1,1,"(256, 64)",2.837956190109253,26,4.126117706298828,0.9921215921669108,2.866746425628662,1.0101447105407715,1.938773512840271
w64_ep7_m1,w64,7,6.092,Q,1,2,"(256, 64)",2.805659532546997,26,4.123260974884033,0.9914346934593646,3.0259761810302734,1.0785257816314697,1.9323530197143555
w64_ep7_m1,w64,7,6.092,Q,1,3,"(256, 64)",2.834352493286133,26,4.124330043792725,0.9916917501948542,2.9543373584747314,1.042332410812378,1.9326375722885132
w64_ep7_m1,w64,7,6.092,K,1,0,"(256, 64)",2.9353721141815186,26,4.123177528381348,0.991414628816764,2.9383597373962402,1.0010178089141846,1.941035509109497
w64_ep7_m1,w64,7,6.092,K,1,1,"(256, 64)",2.8331298828125,26,4.1238508224487305,0.9915765218187762,2.951068878173828,1.0416284799575806,1.9488601684570312
w64_ep7_m1,w64,7,6.092,K,1,2,"(256, 64)",2.7776541709899902,26,4.123964309692383,0.9916038097327131,2.915480852127075,1.0496197938919067,1.9422297477722168
w64_ep7_m1,w64,7,6.092,K,1,3,"(256, 64)",3.017143964767456,25,4.121766090393066,0.9910752497190614,2.988262414932251,0.9904274940490723,1.9329240322113037
w64_ep7_m1,w64,7,6.092,V,1,0,"(256, 64)",3.008988618850708,25,4.121946334838867,0.9911185893470789,2.947209119796753,0.9794683456420898,1.921884298324585
w64_ep7_m1,w64,7,6.092,V,1,1,"(256, 64)",2.962266445159912,25,4.121837615966797,0.9910924479841476,2.9358153343200684,0.9910706281661987,1.9283545017242432
w64_ep7_m1,w64,7,6.092,V,1,2,"(256, 64)",2.704019069671631,26,4.124727725982666,0.991787372548734,2.873542070388794,1.0626929998397827,1.9428553581237793
w64_ep7_m1,w64,7,6.092,V,1,3,"(256, 64)",2.9235379695892334,26,4.124013423919678,0.9916156192080723,2.9653425216674805,1.0142992734909058,1.9420385360717773
w64_ep7_m1,w64,7,6.092,Wo,1,-1,"(256, 256)",258.1453552246094,71,5.3236284255981445,0.9600465411432454,2.0456557273864746,0.007924433797597885,0.8468775749206543
w64_ep7_m1,w64,7,6.092,FFN_up,1,-1,"(1024, 256)",4.431343078613281,100,5.508054256439209,0.9933053200890243,2.6796653270721436,0.6047072410583496,1.14423406124115
w64_ep7_m1,w64,7,6.092,FFN_down,1,-1,"(256, 1024)",7.838799476623535,92,5.4789018630981445,0.9880480684261245,2.5162017345428467,0.32099324464797974,0.6963825821876526
w64_ep7_m1,w64,7,6.092,Q,2,0,"(256, 64)",2.8327512741088867,26,4.125850200653076,0.992057270655488,2.8600358963012695,1.009631872177124,1.9212167263031006
w64_ep7_m1,w64,7,6.092,Q,2,1,"(256, 64)",2.9699463844299316,26,4.123884677886963,0.991584662330917,3.0107271671295166,1.0137311220169067,1.9385578632354736
w64_ep7_m1,w64,7,6.092,Q,2,2,"(256, 64)",2.9505715370178223,25,4.1210479736328125,0.9909025791375952,2.9719884395599365,1.0072585344314575,1.9103286266326904
w64_ep7_m1,w64,7,6.092,Q,2,3,"(256, 64)",2.9041008949279785,26,4.123467445373535,0.9914843391179137,2.979912281036377,1.0261049270629883,1.9313324689865112
w64_ep7_m1,w64,7,6.092,K,2,0,"(256, 64)",2.6769816875457764,26,4.124907493591309,0.9918305975216508,2.924694538116455,1.0925344228744507,1.9298241138458252
w64_ep7_m1,w64,7,6.092,K,2,1,"(256, 64)",2.836250066757202,26,4.123646259307861,0.9915273347806294,2.9695541858673096,1.0470001697540283,1.9466767311096191
w64_ep7_m1,w64,7,6.092,K,2,2,"(256, 64)",2.9842164516448975,26,4.123230934143066,0.9914274701880285,2.9782886505126953,0.9980136156082153,1.9201769828796387
w64_ep7_m1,w64,7,6.092,K,2,3,"(256, 64)",2.8582849502563477,26,4.124720573425293,0.9917856527222254,2.8932909965515137,1.0122472047805786,1.933796763420105
w64_ep7_m1,w64,7,6.092,V,2,0,"(256, 64)",2.7193422317504883,26,4.12411642074585,0.9916403847097965,2.9992997646331787,1.1029504537582397,1.953894853591919
w64_ep7_m1,w64,7,6.092,V,2,1,"(256, 64)",2.896721839904785,26,4.124895095825195,0.9918276164890358,2.9977269172668457,1.0348687171936035,1.9278080463409424
w64_ep7_m1,w64,7,6.092,V,2,2,"(256, 64)",2.6993608474731445,26,4.124646186828613,0.9917677665265356,2.975916624069214,1.102452278137207,1.9471819400787354
w64_ep7_m1,w64,7,6.092,V,2,3,"(256, 64)",2.7947967052459717,26,4.123679161071777,0.9915352459825691,2.868415355682373,1.0263413190841675,1.9275181293487549
w64_ep7_m1,w64,7,6.092,Wo,2,-1,"(256, 256)",2160.106201171875,71,5.324605941772461,0.9602228233603798,2.0217041969299316,0.0009359281393699348,0.8531872034072876
w64_ep7_m1,w64,7,6.092,FFN_up,2,-1,"(1024, 256)",5.372164726257324,102,5.510875701904297,0.9938141307616019,3.337968587875366,0.6213451623916626,1.1672993898391724
w64_ep7_m1,w64,7,6.092,FFN_down,2,-1,"(256, 1024)",6.254709720611572,95,5.488801002502441,0.9898332483420804,2.0709195137023926,0.33109763264656067,0.7681084871292114
w64_ep7_m1,w64,7,6.092,Q,3,0,"(256, 64)",2.971734046936035,26,4.123866081237793,0.9915801907819946,2.9810166358947754,1.0031236410140991,1.940802812576294
w64_ep7_m1,w64,7,6.092,Q,3,1,"(256, 64)",2.7778918743133545,26,4.124189376831055,0.9916579269401846,2.873370409011841,1.0343708992004395,1.936273217201233
w64_ep7_m1,w64,7,6.092,Q,3,2,"(256, 64)",2.8603694438934326,26,4.1247053146362305,0.991781983759007,2.894200086593628,1.0118273496627808,1.9103525876998901
w64_ep7_m1,w64,7,6.092,Q,3,3,"(256, 64)",2.867220640182495,26,4.124682903289795,0.99177659496928,2.8860158920288086,1.006555199623108,1.9391762018203735
w64_ep7_m1,w64,7,6.092,K,3,0,"(256, 64)",2.835387945175171,26,4.124403953552246,0.9917095217354435,2.9417223930358887,1.037502646446228,1.9446070194244385
w64_ep7_m1,w64,7,6.092,K,3,1,"(256, 64)",2.976264476776123,26,4.1246161460876465,0.9917605432551994,3.0020058155059814,1.0086488723754883,1.937070608139038
w64_ep7_m1,w64,7,6.092,K,3,2,"(256, 64)",3.036424398422241,25,4.1221513748168945,0.9911678910403261,2.991764783859253,0.9852920174598694,1.9268039464950562
w64_ep7_m1,w64,7,6.092,K,3,3,"(256, 64)",3.0424771308898926,26,4.123597145080566,0.9915155253052702,3.067101240158081,1.0080934762954712,1.9235363006591797
w64_ep7_m1,w64,7,6.092,V,3,0,"(256, 64)",3.047024726867676,25,4.121189117431641,0.9909365170473654,2.862650156021118,0.9394903182983398,1.9222692251205444
w64_ep7_m1,w64,7,6.092,V,3,1,"(256, 64)",2.9193620681762695,26,4.12319803237915,0.9914195589860887,2.974931478500366,1.019034743309021,1.945454716682434
w64_ep7_m1,w64,7,6.092,V,3,2,"(256, 64)",2.7730469703674316,26,4.123425006866455,0.9914741348139625,2.948324680328369,1.0632076263427734,1.949337124824524
w64_ep7_m1,w64,7,6.092,V,3,3,"(256, 64)",2.8736255168914795,26,4.123144149780273,0.9914066029597237,2.9814565181732178,1.0375243425369263,1.9406323432922363
w64_ep7_m1,w64,7,6.092,Wo,3,-1,"(256, 256)",757.4664306640625,71,5.324543476104736,0.9602115584967482,2.0279645919799805,0.0026772995479404926,0.8522255420684814
w64_ep7_m1,w64,7,6.092,FFN_up,3,-1,"(1024, 256)",3.7926950454711914,104,5.517488956451416,0.9950067444540099,2.5293288230895996,0.6668948531150818,1.1917245388031006
w64_ep7_m1,w64,7,6.092,FFN_down,3,-1,"(256, 1024)",6.958451271057129,103,5.508058547973633,0.9933060940109532,2.698805093765259,0.3878456652164459,0.7485885620117188
w64_ep7_m1,w64,7,6.092,Q,4,0,"(256, 64)",2.873664617538452,26,4.123104095458984,0.9913969719312754,3.0265681743621826,1.053208589553833,1.943068027496338
